model,source_lang,target_lang,MRR,avg_rank
Alibaba-NLP/gte-multilingual-base,eng_Latn,ace_Arab,0.8728530184496647,2.8201581027667983
Alibaba-NLP/gte-multilingual-base,eng_Latn,ace_Latn,0.8727832407644364,4.065217391304348
Alibaba-NLP/gte-multilingual-base,eng_Latn,acm_Arab,0.9883231819261756,1.0869565217391304
Alibaba-NLP/gte-multilingual-base,eng_Latn,acq_Arab,0.987779973649539,1.0424901185770752
Alibaba-NLP/gte-multilingual-base,eng_Latn,aeb_Arab,0.9627941168781964,1.254940711462451
Alibaba-NLP/gte-multilingual-base,eng_Latn,afr_Latn,0.9802018633540374,1.0691699604743083
Alibaba-NLP/gte-multilingual-base,eng_Latn,ajp_Arab,0.9850067308243112,1.0592885375494072
Alibaba-NLP/gte-multilingual-base,eng_Latn,aka_Latn,0.8303229978941177,4.967391304347826
Alibaba-NLP/gte-multilingual-base,eng_Latn,als_Latn,0.983839530035182,1.0800395256916997
Alibaba-NLP/gte-multilingual-base,eng_Latn,amh_Ethi,0.9779580926320056,1.065217391304348
Alibaba-NLP/gte-multilingual-base,eng_Latn,apc_Arab,0.9815711718181,1.091897233201581
Alibaba-NLP/gte-multilingual-base,eng_Latn,arb_Arab,0.99316534914361,1.0197628458498025
Alibaba-NLP/gte-multilingual-base,eng_Latn,arb_Latn,0.697058524593577,16.962450592885375
Alibaba-NLP/gte-multilingual-base,eng_Latn,ars_Arab,0.9895572865718468,1.1462450592885376
Alibaba-NLP/gte-multilingual-base,eng_Latn,ary_Arab,0.9425584235571518,1.715415019762846
Alibaba-NLP/gte-multilingual-base,eng_Latn,arz_Arab,0.9866930171277996,1.034584980237154
Alibaba-NLP/gte-multilingual-base,eng_Latn,asm_Beng,0.9689602685606522,1.1106719367588933
Alibaba-NLP/gte-multilingual-base,eng_Latn,ast_Latn,0.9836544795783926,1.0790513833992097
Alibaba-NLP/gte-multilingual-base,eng_Latn,awa_Deva,0.9703867823086364,1.6146245059288538
Alibaba-NLP/gte-multilingual-base,eng_Latn,ayr_Latn,0.7895282346480718,7.288537549407114
Alibaba-NLP/gte-multilingual-base,eng_Latn,azb_Arab,0.9293071416488008,1.5958498023715415
Alibaba-NLP/gte-multilingual-base,eng_Latn,azj_Latn,0.9817498631242062,2.2470355731225298
Alibaba-NLP/gte-multilingual-base,eng_Latn,bak_Cyrl,0.9321026459772688,1.7144268774703555
Alibaba-NLP/gte-multilingual-base,eng_Latn,bam_Latn,0.7990819266305985,7.055335968379446
Alibaba-NLP/gte-multilingual-base,eng_Latn,ban_Latn,0.9316800321560724,2.048418972332016
Alibaba-NLP/gte-multilingual-base,eng_Latn,bel_Cyrl,0.9824769433465086,1.0464426877470356
Alibaba-NLP/gte-multilingual-base,eng_Latn,bem_Latn,0.8632320440522905,4.204545454545454
Alibaba-NLP/gte-multilingual-base,eng_Latn,ben_Beng,0.9837050630528892,1.0474308300395256
Alibaba-NLP/gte-multilingual-base,eng_Latn,bho_Deva,0.9570855829502074,1.1492094861660078
Alibaba-NLP/gte-multilingual-base,eng_Latn,bjn_Arab,0.872695451914044,3.210474308300395
Alibaba-NLP/gte-multilingual-base,eng_Latn,bjn_Latn,0.9602399867550628,2.308300395256917
Alibaba-NLP/gte-multilingual-base,eng_Latn,bod_Tibt,0.1808163960857601,281.4634387351779
Alibaba-NLP/gte-multilingual-base,eng_Latn,bos_Latn,0.9965744400527008,1.0098814229249011
Alibaba-NLP/gte-multilingual-base,eng_Latn,bug_Latn,0.8663464114358146,4.469367588932807
Alibaba-NLP/gte-multilingual-base,eng_Latn,bul_Cyrl,0.996277997364954,1.0128458498023716
Alibaba-NLP/gte-multilingual-base,eng_Latn,cat_Latn,0.988471673254282,1.0256916996047432
Alibaba-NLP/gte-multilingual-base,eng_Latn,ceb_Latn,0.9352380425049864,1.6531620553359685
Alibaba-NLP/gte-multilingual-base,eng_Latn,ces_Latn,0.9929512516469038,1.017786561264822
Alibaba-NLP/gte-multilingual-base,eng_Latn,cjk_Latn,0.8005041219554212,6.609683794466403
Alibaba-NLP/gte-multilingual-base,eng_Latn,ckb_Arab,0.9166229580864048,2.027667984189723
Alibaba-NLP/gte-multilingual-base,eng_Latn,crh_Latn,0.9652940356744704,1.184782608695652
Alibaba-NLP/gte-multilingual-base,eng_Latn,cym_Latn,0.9547434467351348,1.3389328063241106
Alibaba-NLP/gte-multilingual-base,eng_Latn,dan_Latn,0.9930830039525692,1.0158102766798418
Alibaba-NLP/gte-multilingual-base,eng_Latn,deu_Latn,0.9970355731225296,1.005928853754941
Alibaba-NLP/gte-multilingual-base,eng_Latn,dik_Latn,0.7344569223665722,9.432806324110672
Alibaba-NLP/gte-multilingual-base,eng_Latn,dyu_Latn,0.7440792447864032,11.148221343873518
Alibaba-NLP/gte-multilingual-base,eng_Latn,dzo_Tibt,0.054898361575702,329.3211462450593
Alibaba-NLP/gte-multilingual-base,eng_Latn,ell_Grek,0.990259048283345,1.0355731225296445
Alibaba-NLP/gte-multilingual-base,eng_Latn,epo_Latn,0.9767221908526256,1.066205533596838
Alibaba-NLP/gte-multilingual-base,eng_Latn,est_Latn,0.9911655373611896,1.024703557312253
Alibaba-NLP/gte-multilingual-base,eng_Latn,eus_Latn,0.9672469493615738,1.1452569169960474
Alibaba-NLP/gte-multilingual-base,eng_Latn,ewe_Latn,0.8130027152381512,5.849802371541502
Alibaba-NLP/gte-multilingual-base,eng_Latn,fao_Latn,0.9500309247891828,1.3863636363636365
Alibaba-NLP/gte-multilingual-base,eng_Latn,fij_Latn,0.8359925705125598,3.925889328063241
Alibaba-NLP/gte-multilingual-base,eng_Latn,fin_Latn,0.989898248050422,1.0592885375494072
Alibaba-NLP/gte-multilingual-base,eng_Latn,fon_Latn,0.7926246630008255,6.657114624505929
Alibaba-NLP/gte-multilingual-base,eng_Latn,fra_Latn,0.9973649538866932,1.005928853754941
Alibaba-NLP/gte-multilingual-base,eng_Latn,fur_Latn,0.9422242009198531,1.2193675889328064
Alibaba-NLP/gte-multilingual-base,eng_Latn,fuv_Latn,0.8367490578889639,4.873517786561265
